distance,angle,raw_angle,time,speed
19.34269,5.976563,68,805129,-1.281049
19.57628,336.3574,3827,805142,17.96814
19.60157,300.5859,3420,805155,-1.945473
19.62829,262.793,2990,805168,-2.055414
19.65016,231.8555,2638,805181,-1.682572
19.66856,205.8398,2342,805194,-1.532797
19.68409,183.8672,2092,805206,-1.195008
19.69975,161.7188,1840,805219,-1.204568
19.72094,131.748,1499,805232,-1.629991
19.74965,91.14258,1037,805245,-2.208375
19.77463,55.81055,635,805258,-1.921573
19.79222,30.9375,352,805271,-1.465478
19.80887,7.382813,84,805283,-1.281049
20.04296,338.4668,3851,805296,18.00639
20.06856,302.2559,3439,805309,-1.969374
20.0982,260.332,2962,805324,-2.117213
20.1197,229.9219,2616,805337,-1.791716
20.13797,204.082,2322,805349,-1.40533
20.15369,181.8457,2069,805362,-1.209348
20.16947,159.5215,1815,805375,-1.214128
20.19141,128.4961,1462,805388,-1.687352
20.22018,87.80273,999,805401,-2.213155
20.24466,53.17383,605,805414,-2.040277
20.26163,29.17969,332,805426,-1.304949
20.27847,5.361328,61,805439,-1.295389
20.51224,336.0059,3823,805452,17.98248
20.53803,299.5313,3408,805465,-1.983714
20.56437,262.2656,2984,805478,-2.026734
20.58606,231.5918,2635,805491,-1.807251
20.60433,205.752,2341,805503,-1.40533
20.62024,183.252,2085,805516,-1.223688
20.63571,161.3672,1836,805529,-1.190228
20.65734,130.7813,1488,805542,-1.663451
20.68629,89.82422,1022,805555,-2.227495
20.71084,55.10742,627,805568,-1.888113
20.72799,30.84961,351,805580,-1.42923
20.7452,6.503906,74,805593,-1.324069
20.9763,333.3691,3793,805608,15.40668
21.00278,295.9277,3367,805621,-2.205985
21.02856,259.4531,2952,805634,-2.149023
21.05019,228.8672,2604,805646,-1.663451
21.06821,203.3789,2314,805659,-1.38621
21.08393,181.1426,2061,805672,-1.209348
21.0994,159.2578,1812,805685,-1.190228
21.12171,127.7051,1453,805698,-1.716032
21.15098,86.30859,982,805711,-2.251395
21.17497,52.38281,596,805723,-1.99885
21.19168,28.74023,327,805736,-1.285829
21.2089,4.394531,50,805749,-1.324069
21.44286,335.3027,3815,805762,17.99682
21.46914,298.125,3392,805775,-2.19045
21.49518,261.2988,2973,805787,-2.002834
21.51699,230.4492,2622,805800,-1.677792
21.53507,204.873,2331,805813,-1.390989
21.55111,182.1973,2073,805826,-1.233248
21.5667,160.1367,1822,805839,-1.199788
21.58889,128.7598,1465,805852,-1.706472
21.61735,88.50586,1007,805865,-2.189255
21.64226,53.26172,606,805878,-2.076526
21.65904,29.53125,336,805890,-1.290609
21.67886,1.494141,17,805905,-1.32152
21.91195,331.1719,3768,805918,17.9299
21.93836,293.8184,3343,805931,-2.200807
21.96403,257.5195,2930,805943,-1.974154
21.98584,226.6699,2579,805956,-1.677792
22.0033,201.9727,2298,805969,-1.343189
22.01889,179.9121,2047,805982,-1.199788
22.03493,157.2363,1789,805995,-1.233248
22.05786,124.8047,1420,806008,-1.763832
22.08644,84.375,960,806021,-2.198815
